ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-02,1510.74925,1318.3195853770176,1858.3336571552713,1510.74925,1510.74925,85.02095479515258,85.02095479515258,85.02095479515258,17.02864225000492,17.02864225000492,17.02864225000492,67.99231254514766,67.99231254514766,67.99231254514766,0.0,0.0,0.0,1595.7702047951527
2014-01-03,1513.9900134526085,1366.1143740128095,1875.835556218025,1513.9900134526085,1513.9900134526085,95.91089918771996,95.91089918771996,95.91089918771996,23.313646322448683,23.313646322448683,23.313646322448683,72.59725286527127,72.59725286527127,72.59725286527127,0.0,0.0,0.0,1609.9009126403284
2014-01-06,1523.7123038104344,1335.9701163968182,1892.541563635006,1523.7123038104344,1523.7123038104344,103.235719800078,103.235719800078,103.235719800078,16.40923405060618,16.40923405060618,16.40923405060618,86.82648574947181,86.82648574947181,86.82648574947181,0.0,0.0,0.0,1626.9480236105123
2014-01-07,1526.953067263043,1348.5660477264823,1889.8837811178223,1526.953067263043,1526.953067263043,107.21573009907374,107.21573009907374,107.21573009907374,15.720535395947097,15.720535395947097,15.720535395947097,91.49519470312666,91.49519470312666,91.49519470312666,0.0,0.0,0.0,1634.1687973621167
2014-01-08,1530.1938307156515,1395.126209594962,1899.8217036083654,1530.1938307156515,1530.1938307156515,113.69020895918783,113.69020895918783,113.69020895918783,17.66085837987842,17.66085837987842,17.66085837987842,96.02935057930941,96.02935057930941,96.02935057930941,0.0,0.0,0.0,1643.8840396748394
2014-01-09,1533.4345941682602,1397.4202392635882,1934.4579691916233,1533.4345941682602,1533.4345941682602,117.40790868720441,117.40790868720441,117.40790868720441,17.028642249962985,17.028642249962985,17.028642249962985,100.37926643724143,100.37926643724143,100.37926643724143,0.0,0.0,0.0,1650.8425028554645
2014-01-10,1536.6753576208685,1393.4042529942171,1955.5870274398344,1536.6753576208685,1536.6753576208685,127.81665465453341,127.81665465453341,127.81665465453341,23.31364632249653,23.31364632249653,23.31364632249653,104.5030083320369,104.5030083320369,104.5030083320369,0.0,0.0,0.0,1664.492012275402
2014-01-13,1546.3976479786943,1412.1436464556516,1946.130655937258,1546.3976479786943,1546.3976479786943,131.64398915961957,131.64398915961957,131.64398915961957,16.409234050653758,16.409234050653758,16.409234050653758,115.23475510896581,115.23475510896581,115.23475510896581,0.0,0.0,0.0,1678.041637138314
2014-01-15,1552.8791748839114,1427.9255488379401,1940.988823198338,1552.8791748839114,1552.8791748839114,138.5768568637758,138.5768568637758,138.5768568637758,17.660858379869236,17.660858379869236,17.660858379869236,120.91599848390655,120.91599848390655,120.91599848390655,0.0,0.0,0.0,1691.4560317476871
2014-01-16,1556.1199383365201,1437.350362972463,1941.3163935334915,1556.1199383365201,1556.1199383365201,140.3647647097261,140.3647647097261,140.3647647097261,17.02864225000319,17.02864225000319,17.02864225000319,123.33612245972292,123.33612245972292,123.33612245972292,0.0,0.0,0.0,1696.4847030462463
2014-01-17,1559.3607017891286,1448.0595068503783,1989.2737363225986,1559.3607017891286,1559.3607017891286,148.82168487815667,148.82168487815667,148.82168487815667,23.31364632245232,23.31364632245232,23.31364632245232,125.50803855570436,125.50803855570436,125.50803855570436,0.0,0.0,0.0,1708.1823866672853
2014-01-20,1569.0829921469544,1440.1248952165577,1975.270436273407,1569.0829921469544,1569.0829921469544,147.32483141015913,147.32483141015913,147.32483141015913,16.409234050547987,16.409234050547987,16.409234050547987,130.91559735961116,130.91559735961116,130.91559735961116,0.0,0.0,0.0,1716.4078235571135
2014-01-21,1572.3237555995631,1446.076672693541,1988.3774953051752,1572.3237555995631,1572.3237555995631,148.2262589060021,148.2262589060021,148.2262589060021,15.720535395977784,15.720535395977784,15.720535395977784,132.50572351002432,132.50572351002432,132.50572351002432,0.0,0.0,0.0,1720.5500145055653
2014-01-22,1575.5645190521716,1465.6735708786937,1999.5480379682285,1575.5645190521716,1575.5645190521716,151.73872129803982,151.73872129803982,151.73872129803982,17.660858379862294,17.660858379862294,17.660858379862294,134.07786291817754,134.07786291817754,134.07786291817754,0.0,0.0,0.0,1727.3032403502114
2014-01-23,1578.8052825047803,1452.748102324717,2000.5172899296122,1578.8052825047803,1578.8052825047803,152.71594100814394,152.71594100814394,152.71594100814394,17.028642250002,17.028642250002,17.028642250002,135.68729875814196,135.68729875814196,135.68729875814196,0.0,0.0,0.0,1731.5212235129243
2014-01-24,1582.0460459573887,1489.5341146872968,2012.4213728942045,1582.0460459573887,1582.0460459573887,160.70213517720998,160.70213517720998,160.70213517720998,23.313646322408125,23.313646322408125,23.313646322408125,137.38848885480186,137.38848885480186,137.38848885480186,0.0,0.0,0.0,1742.7481811345988
2014-01-27,1591.7683363152144,1493.2202685695675,2026.4473569682864,1591.7683363152144,1591.7683363152144,159.94913058860922,159.94913058860922,159.94913058860922,16.409234050655424,16.409234050655424,16.409234050655424,143.5398965379538,143.5398965379538,143.5398965379538,0.0,0.0,0.0,1751.7174669038236
2014-01-28,1595.0090997678228,1483.1336213032794,2019.65977783514,1595.0090997678228,1595.0090997678228,161.79952989737365,161.79952989737365,161.79952989737365,15.720535395952403,15.720535395952403,15.720535395952403,146.07899450142122,146.07899450142122,146.07899450142122,0.0,0.0,0.0,1756.8086296651963
